0	21
0.5	21
30	600
120	600
125	21
23/09/'22 12:55	Digiheater 3.2
R0 = 158.6	a =  0.0000000	b = 0.279	c = 153.051
Tsample = 330 [ms]  
sample	time	Tset[C]	Tmeas[C]	Rheat[ohm]	Vheat[V]	Iheat[mA]	Pheat [mW]	c
1	12:55:20.50	23.0	18.577	158.234	0.034813	0.220218	0.007666	153.051	norm
2	12:55:20.86	23.0	19.977	158.624	0.015713	0.099150	0.001558	153.051	norm
3	12:55:21.19	23.0	11.092	156.146	0.016392	0.105080	0.001722	153.051	norm
4	12:55:21.52	23.0	12.857	156.638	0.022127	0.141395	0.003129	153.051	norm
5	12:55:21.85	23.0	15.327	157.327	0.027205	0.173082	0.004709	153.051	norm
6	12:55:22.18	23.0	16.498	157.654	0.031026	0.196984	0.006112	153.051	norm
7	12:55:22.51	23.0	17.162	157.839	0.034349	0.217830	0.007482	153.051	norm
8	12:55:22.84	23.0	17.745	158.002	0.037249	0.235977	0.008790	153.051	norm
9	12:55:23.17	23.0	18.446	158.197	0.039925	0.252614	0.010086	153.051	norm
10	12:55:23.50	23.0	18.593	158.238	0.042131	0.266504	0.011228	153.051	norm
11	12:55:23.84	23.0	19.640	158.530	0.044406	0.280375	0.012450	153.051	norm
12	12:55:24.16	23.0	19.803	158.576	0.046171	0.291438	0.013456	153.051	norm
13	12:55:24.50	23.0	20.130	158.667	0.047772	0.301369	0.014397	153.051	norm
14	12:55:24.83	23.0	20.302	158.715	0.057183	0.360628	0.020622	153.051	norm
15	12:55:25.16	23.0	22.213	159.248	0.066545	0.418268	0.027834	153.051	norm
16	12:55:28.54	23.0	23.289	159.549	0.069630	0.436834	0.030417	153.051	norm
17	12:55:28.77	23.0	23.790	159.688	0.069021	0.432638	0.029861	153.051	norm
18	12:55:29.12	21.0	23.418	159.585	0.066221	0.415354	0.027505	153.051	norm
19	12:55:29.45	21.0	23.086	159.492	0.064626	0.405585	0.026211	153.051	norm
20	12:55:29.78	21.0	23.023	159.474	0.057692	0.362106	0.020890	153.051	norm
21	12:55:30.11	21.0	22.265	159.263	0.050823	0.319415	0.016233	153.051	norm
22	12:55:30.44	21.0	21.296	158.993	0.046202	0.290872	0.013439	153.051	norm
23	12:55:30.77	21.0	20.652	158.813	0.044886	0.282904	0.012698	153.051	norm
24	12:55:31.10	21.0	20.123	158.665	0.045836	0.289158	0.013254	153.051	norm
25	12:55:31.42	21.0	20.160	158.676	0.048801	0.307845	0.015023	153.051	norm
26	12:55:31.75	21.0	20.726	158.833	0.051707	0.325851	0.016849	153.051	norm
27	12:55:32.08	21.0	21.194	158.964	0.052727	0.332010	0.017506	153.051	norm
28	12:55:33.05	21.0	21.342	158.940	0.051778	0.326080	0.016884	153.051	fine
29	12:55:33.33	21.0	21.334	158.969	0.051795	0.326128	0.016892	153.051	fine
30	12:55:33.71	21.0	21.324	158.979	0.051664	0.325284	0.016806	153.051	fine
31	12:55:34.04	21.0	21.317	159.033	0.051383	0.323402	0.016617	153.051	fine
32	12:55:34.37	21.0	21.310	158.939	0.050686	0.319206	0.016179	153.051	fine
33	12:55:34.70	21.0	21.300	158.930	0.050109	0.315590	0.015814	153.051	fine
34	12:55:35.03	21.0	21.283	158.886	0.049645	0.312757	0.015527	153.051	fine
35	12:55:35.36	21.0	21.257	158.868	0.049375	0.311090	0.015360	153.051	fine
36	12:55:35.69	21.0	21.225	158.875	0.049202	0.309984	0.015252	153.051	fine
37	12:55:36.02	21.0	21.187	158.814	0.049077	0.309316	0.015180	153.051	fine
38	12:55:36.35	21.0	21.145	158.835	0.049208	0.310099	0.015259	153.051	fine
39	12:55:36.68	21.0	21.103	158.879	0.049532	0.312055	0.015457	153.051	fine
40	12:55:37.01	21.0	21.067	158.889	0.049845	0.314005	0.015651	153.051	fine
41	12:55:37.34	21.0	21.038	158.889	0.050092	0.315563	0.015807	153.051	fine
42	12:55:37.67	21.0	21.017	158.933	0.050430	0.317607	0.016017	153.051	fine
43	12:55:38.00	21.0	21.004	158.918	0.050689	0.319267	0.016183	153.051	fine
44	12:55:38.33	21.0	20.996	158.883	0.050922	0.320805	0.016336	153.051	fine
45	12:55:38.66	21.0	20.986	158.861	0.051266	0.323018	0.016560	153.051	fine
46	12:55:38.99	21.0	20.974	158.860	0.051747	0.326047	0.016872	153.051	fine
47	12:55:39.32	21.0	20.964	158.921	0.052278	0.329271	0.017214	153.051	fine
48	12:55:39.65	21.0	20.962	158.986	0.052588	0.331086	0.017411	153.051	fine
